trial,seed,mocco_cost,mocco_co2,mocco_energy,mocco_win3
trial,seed,mocco_cost,mocco_co2,mocco_energy,mocco_win3
5,46,69.0499837388779,191.326792401644,1485.81669285075,0
6,47,70.5042566887533,190.888456233243,1497.70089915416,0
7,48,71.3604133404134,197.90683227051,1518.01877772936,0
8,49,69.6849116666099,186.685500936843,1477.29556885919,1
1,42,67.2856452010398,177.185987451328,1233.15065757541,1
1,42,70.2493112127143,226.567917339146,1503.94919111982,1
1,42,75.1225225475488,240.538364861419,1568.2534176741,0
2,43,69.30900923227,243.956891254635,1582.26156769375,0
3,44,73.5970919415024,242.1557341802,1566.60740934033,0
4,45,67.6369622468047,244.526226970294,1579.66549015648,0
5,46,70.5608265034715,234.919601922678,1547.25975671597,0
6,47,75.7497668270103,243.909787544341,1570.94696447874,0
7,48,70.2603998595331,233.004949855368,1536.63632061785,0
8,49,67.431540539767,244.361620913576,1576.70344079442,0
9,50,71.4731215396534,232.887396744714,1538.73563779946,0
10,51,69.5033859174166,243.464935936269,1571.89504150226,1
1,42,69.5554280794928,248.422639301229,1598.09361577138,0
2,43,68.9508572796197,245.81048263357,1589.67460721916,0
3,44,71.0394655107899,245.153619725101,1585.40754341034,0
4,45,71.7604548903315,246.553945666118,1590.04585408425,0
5,46,70.648215844054,244.616374455138,1596.62900335975,0
6,47,70.6016347673206,246.97641821878,1588.63112630386,0
7,48,70.0456925869258,245.034062736131,1579.80954151851,0
8,49,70.9244789111582,241.11500447382,1582.25049383754,0
9,50,75.0027046986877,244.429178382845,1582.07931566624,1
1,42,70.4212750135278,247.655740034518,1603.86503458813,0
2,43,66.3911769112326,251.053025877205,1602.68659552458,0
3,44,70.3207541639831,248.142742381423,1611.21104113755,0
4,45,72.5123462609693,247.769824999129,1614.38347111466,0
5,46,68.527298723699,249.486897670178,1610.80278364629,0
6,47,76.8336673974433,243.912234853476,1582.97698232918,1
1,42,70.6823332855395,249.843397523298,1614.19334546031,0
2,43,67.3146506941884,250.971347592689,1608.83927980698,1
1,42,67.1247042638283,184.411898359853,1267.81463853873,0
2,43,67.3200931085697,185.078985244193,1273.78830623658,0
3,44,66.3395625520415,185.475368449297,1268.65397095328,0
4,45,67.6364733172143,183.281452787589,1266.71733927686,1
1,42,66.598924313464,191.348994281164,1297.81876657358,1
1,42,77.529800314389,242.416721125583,1576.08409422972,0
2,43,79.2792659481616,239.227870407303,1567.19914241394,0
3,44,70.3817211331651,243.92925721834,1578.20718156826,0
4,45,72.2393648914565,242.200194538488,1575.28477309152,0
5,46,72.2482728945111,242.018489906742,1570.71740007488,0
6,47,70.2037427820754,233.909941363304,1539.98034066049,1
1,42,68.6834256899007,246.149320384068,1594.91785242729,0
2,43,70.3152044261329,245.013948403402,1587.00822816281,0
3,44,69.8794140581013,245.73874955956,1587.58230126965,0
4,45,68.9067953839704,245.588540789576,1587.87763987928,0
5,46,72.9026379840049,243.339438447627,1575.76342872296,0
6,47,78.8833220843509,242.438925808884,1575.25196531813,0
7,48,75.4820228174045,243.239268842047,1573.52813914462,0
8,49,72.5138869368265,243.54047889415,1576.8608074717,0
9,50,70.7982675932054,245.686449287029,1579.4655664692,1
1,42,66.8842557563205,178.591980542489,1237.83583062304,1
1,42,67.0912654501034,177.438337532048,1232.50535121404,1
1,42,67.3498682684468,191.787110759538,1307.21047758108,1
1,42,70.350224485104,192.868675510923,1318.0173116452,0
